Recipe names:
randomthings:igniter - 1xtile.igniter@0
draconicevolution:wyvern_shovel - 1xitem.draconicevolution:wyvern_shovel@0
enderio:auto_easy_lookup_for_coloring_dark_fused_quartz_with_light_blue - 8xtile.block_dark_fused_quartz@3
ironchest:shulker/yellow/diamond/silver_diamond_shulker_box - 1xtile.IronShulkerBoxyellow@2
forestry:bronze_ingot - 4xitem.for.ingot_bronze@0
xencraft:xen_gem_from_leaves - 1xitem.xencraft.xen_gem@0
jaopca:block_slabludicrite_w63vxu - 6xtile.jaopca.slab@0
environmentaltech:m_multiblocks/m_void/colored_lenses/lens_magenta - 1xtile.environmentaltech.laser_lens_colored@2
storagedrawersextra:extra_drawers_halfdrawers4_forestry_poplar - 4xtile.extraDrawers@4
cyclicmagic:tile.peat_generator_1 - 1xtile.peat_generator@0
rftools:level_emitter - 1xtile.rftools.level_emitter@0
bigreactors:turbinerotorblade - 1xtile.bigreactors:turbinerotorblade@0
mysticalagriculture:iron_ingot - 6xitem.ingotIron@0
immersiveengineering:metal_decoration/coil_copper - 1xtile.immersiveengineering.metal_decoration0@0
botania:wands/twigwand_lime_purple - 1xitem.twigWand@0
stevescarts:component/simple_pcb_1 - 1xitem.SC2:unknowncomponent@9
stevescarts:component/simple_pcb_2 - 1xitem.SC2:unknowncomponent@9
minecraft:pink_wool - 1xtile.cloth@6
rftoolspower:cell1_rftools - 1xtile.rftoolspower.cell1@0
conarm:armorforge_blockuranium - 1xtile.conarm.armorforge@0
complex-logic:lamp/color_lamp_gray_inverted - 1xtile.color_lamp_inverted@0
industrialforegoing:laser_lens_12_recolor - 1xitem.industrialforegoing_laser_lens@12
magneticraft:stone_hammer_normal - 1xitem.magneticraft.stone_hammer@0
industrialforegoing:fluiddictionary_converter_mekanism - 1xtile.industrialforegoing.fluiddictionary_converter@0
randomthings:grassseeds_blue - 1xitem.grassSeeds@12
thaumcraft:quicksilvertonuggets - 9xitem.nugget@5
extratrees:pear_doors - 3xtile.doors.pear@0
pneumaticcraft:logistic_frame_active_provider - 4xitem.logistic_frame_active_provider@0
appliedenergistics2:network/parts/planes_annihilation_alt2 - 1xitem.appliedenergistics2.part@300
nuclearcraft:item.simplyjetpacks.fluxpack_eio2_armored - 1xitem.simplyjetpacks.itemFluxpack@4
extratrees:pear_fireproof_slabs - 6xtile.slabs.fireproof.3@0
enderio:enderium_ball_crafting - 24xitem.item_material@58
appliedenergistics2:network/cables/glass_brown - 8xitem.appliedenergistics2.part@12
enderio:auto_easy_lookup_for_coloring_fused_quartz_with_cyan - 8xtile.block_fused_quartz@9
forestry:slabs_cherry - 6xtile.for.slabs.1@7
botania:biomestoneb2stairs - 4xtile.biomeStoneB2Stairs@0
ironchest:shulker/gray/silver/copper_silver_shulker_box - 1xtile.IronShulkerBoxgray@4
jaopca:block_stairsmithminite_2gfchd - 8xtile.jaopca.stairs@0
techreborn:chemical_reactor - 1xtile.techreborn.chemical_reactor@0
mystgears:recipe_gear_infinity - 1xitem.gear_infinity@0
industrialforegoing:crop_recolector_thermal - 1xtile.industrialforegoing.crop_recolector@0
botania:quartzstairsmana - 4xtile.quartzStairsMana@0
deepmoblearning:living_matter_exchange/transmutes0_overworldian/recipe6_arrow - 12xitem.arrow@0
psi:vector_ruler - 1xitem.vector_ruler@0
jaopca:block_wallalubrass_mtah44 - 12xtile.jaopca.wall@0
jaopca:block_slabcinnabar_goafqr - 6xtile.jaopca.slab@0
botania:terrapick - 1xitem.terraPick@0
immersiveengineering:hammercrushing_iridium - 1xitem.thermalfoundation.material@71
nuclearcraft:item.peridotboots_1 - 1xitem.peridotBoots@0
immersivecables:wire_coil_block_fluix_dense - 1xtile.immersivecables:coil_block@1
enderio:crystalline_pink_slime_ball_crafting - 24xitem.item_alloy_endergy_ball@4
tconstruct:tools/forge/blockredstonealloy - 1xtile.tconstruct.toolforge@0
bibliocraft:oak_desk - 1xtile.BiblioCraft:Desk@0
mysticalagriculture:redstone_alloy_seeds - 1xitem.ma.redstone_alloy_seeds@0
jaopca:block_slabzirconium_r65dd9 - 6xtile.jaopca.slab@0
mysticalagriculture:prudentium_reprocessor - 1xtile.ma.prudentium_reprocessor@0
nuclearcraft:item.peridotboots_2 - 1xitem.peridotBoots@0
botania:wands/twigwand_gray_gray - 1xitem.twigWand@0
botania:biomestoneb3stairs - 4xtile.biomeStoneB3Stairs@0
modularmachinery:casing_reinforced - 4xtile.modularmachinery.blockcasing@4
mysticalagriculture:coal - 12xitem.coal@0
ironchest:shulker/green/gold/iron_gold_shulker_box - 1xtile.IronShulkerBoxgreen@1
plethora-core:turtle_plethora_scanner - 1xtile.computercraft:turtle@0
mysticalagradditions:stuff - 1xitem.ma.stuff@0
nuclearcraft:item.thaumadditions:mithminite_robe_1 - 1xitem.thaumadditions:mithminite_robe@0
nuclearcraft:item.thaumadditions:mithminite_robe_2 - 1xitem.thaumadditions:mithminite_robe@0
mysticalagriculture:prudentium_chestplate - 1xitem.ma.prudentium_chestplate@0
nuclearcraft:item.crimson_robe_helm - 1xitem.crimson_robe_helm@0
aiotbotania:rockpickaxe - 1xitem.livingrockPickaxe@0
thaumcraft:matrixmotion - 1xtile.matrix_speed@0
nuclearcraft:tile.nuclearcraft.cooler.magnesium - 1xtile.nuclearcraft.cooler@15
forestry:fireproof_fence_gates_acacia - 1xtile.for.fence.gates.vanilla.fireproof.acacia@0
nuclearcraft:item.tcomplement.steel_boots - 1xitem.tcomplement.steel_boots@0
minecraft:pillar_quartz_block - 2xtile.quartzBlock@2
extendedcrafting:crafting_component_ultimate - 1xitem.ec.material@17
nuclearcraft:item.nuclearcraft.part.steel_frame - 1xitem.nuclearcraft.part@12
storagedrawers:upgrade_void - 1xitem.storagedrawers.upgradeVoid@0
enderio:auto_easy_lookup_for_coloring_dark_fused_glass_with_yellow - 8xtile.block_dark_fused_glass@4
thermalfoundation:tool.axe_nickel - 1xitem.thermalfoundation.tool.nickelAxe@0
industrialforegoing:oredictionary_converter_thermal - 1xtile.industrialforegoing.oredictionary_converter@0
embers:breaker - 1xtile.breaker@0
immersivepetroleum:metal_decoration/generator - 1xtile.immersivepetroleum.metal_device@1
mysticalagriculture:chrome_seeds - 1xitem.ma.chrome_seeds@0
minecraft:paper - 3xitem.paper@0
randomthings:grassseeds_lime - 1xitem.grassSeeds@6
thaumic_arcana:slime_infuse_vinculum - 1xitem.thaumic_arcana.infused_slime@17
mysticalagriculture:cobbled_soulstone_wall - 6xtile.ma.cobbled_soulstone_wall@0
conarm:gauntlet_mat_reach - 1xitem.conarm.gauntlet_mat_reach@0
jaopca:block_fencewub_8hfp3y - 3xtile.jaopca.fence@0
thermalfoundation:tool.hoe_copper - 1xitem.thermalfoundation.tool.copperHoe@0
complex-logic:lamp/color_lamp_pink_inverted - 1xtile.color_lamp_inverted@0
chiselsandbits:mirrorpatterncrafting - 2xtile.air@15
crafttweaker:thermalfoundation-material_69-modified - 1xitem.thermalfoundation.material@260
immersiveengineering:metal_storage/lead_block_uncraft - 9xitem.immersiveengineering.metal@2
extratrees:yew_planks - 4xtile.planks.0@11
thermalfoundation:tool.sickle_silver - 1xitem.thermalfoundation.tool.silverSickle@0
forestry:fireproof_fences_maple - 3xtile.for.fences.fireproof.1@6
extratrees:hickory_fence_gates - 1xtile.fence.gates.hickory@0
forestry:fireproof_slabs_sequoia - 6xtile.for.slabs.fireproof.0@7
jaopca:gem_extzuz - 1xitem.nuclearcraft.gem@5
tp:emerald_sword - 1xitem.emerald_sword@0
thaumadditions:draco_crystal_block - 1xtile.thaumadditions:crystal_block@0
jaopca:material_ssc4bv - 4xitem.ec.material@24
mysticalagriculture:ingotlithium - 3xitem.nuclearcraft.ingot@6
forestry:farm_gearbox_brick_chiseled - 1xtile.for.ffarm@2
jaopca:block_slabboronarsenide_etpkq4 - 6xtile.jaopca.slab@0
opensecurity:blocks/rolldoor - 1xtile.rolldoor@0
mysticalagriculture:intermedium_shovel - 1xitem.ma.intermedium_shovel@0
actuallyadditions:recipes29 - 1xitem.actuallyadditions.item_tele_staff@0
tp:redstone_helmet - 1xitem.redstone_helmet@0
jaopca:block_slabiridium_w7pbw2 - 6xtile.jaopca.slab@0
bibliocraft:birch_seatback5 - 1xitem.seatback5@2
bibliocraft:birch_seatback4 - 1xitem.seatback4@2
immersiveengineering:metal_devices/fluid_outlet - 1xtile.immersiveengineering.metal_device0@6
bibliocraft:birch_seatback3 - 1xitem.seatback3@2
bibliocraft:birch_seatback2 - 1xitem.seatback2@2
bibliocraft:birch_seatback1 - 1xitem.seatback1@2
redstonerepository:armor.helmet_gelid - 1xitem.redstonerepository.armor.enderium.gelid.helm@0
bibliocraft:lime_dyed_lanterniron - 1xtile.BiblioCraft:LanternIron@7
actuallyadditions:recipes20 - 1xitem.actuallyadditions.item_crate_keeper@0
enderio:auto_easy_lookup_for_coloring_enlightened_fused_quartz_with_yellow - 8xtile.block_enlightened_fused_quartz@4
immersiveengineering:material/wooden_grip - 1xitem.immersiveengineering.material@13
actuallyadditions:recipes23 - 3xitem.paper@0
actuallyadditions:recipes24 - 4xitem.actuallyadditions.item_misc@12
actuallyadditions:recipes21 - 1xitem.actuallyadditions.item_spawner_changer@0
actuallyadditions:recipes22 - 1xitem.actuallyadditions.item_laser_wrench@0
actuallyadditions:recipes27 - 1xitem.actuallyadditions.item_drill@3
actuallyadditions:recipes28 - 1xitem.actuallyadditions.item_misc@16
actuallyadditions:recipes25 - 4xitem.actuallyadditions.item_misc@12
magneticraft:insulated_heat_pipe_normal - 5xtile.magneticraft.insulated_heat_pipe@0
actuallyadditions:recipes26 - 1xitem.actuallyadditions.item_leaf_blower@0
actuallyadditions:recipes18 - 1xitem.actuallyadditions.item_more_damage_lens@0
actuallyadditions:recipes19 - 1xitem.actuallyadditions.item_filter@0
bewitchment:unfired_jar - 3xitem.bewitchment.unfired_jar@0
nuclearcraft:item.thermalfoundation.armor.tinhelmet - 1xitem.thermalfoundation.armor.tinHelmet@0
tconstruct:smeltery/grout - 8xtile.tconstruct.soil@0
mekanism:roadplasticblock_4_alt - 4xtile.RoadPlasticBlock@4
integrateddynamics:facade_0 - 1xitem.items.integrateddynamics.facade@0
forestry:backpack_foresting - 1xitem.for.forester_bag@0
bibliocraft:red_dyed_lanterngold - 1xtile.BiblioCraft:LanternGold@4
mysticalagriculture:core/inferium_tinkering_table - 1xtile.ma.tinkering_table@0
xreliquary:items/mob_charms/ghast - 1xitem.mob_charm@0
actuallyadditions:recipes12 - 1xitem.actuallyadditions.item_spawner_changer@0
thaumcraft:arcanespa - 1xtile.spa@0
actuallyadditions:recipes13 - 1xitem.actuallyadditions.item_chest_to_crate_upgrade@0
actuallyadditions:recipes10 - 1xitem.actuallyadditions.item_laser_wrench@0
magneticraft:nuggets_nickel - 9xitem.magneticraft.nuggets@10
actuallyadditions:recipes11 - 1xitem.actuallyadditions.item_phantom_connector@0
actuallyadditions:recipes16 - 1xitem.actuallyadditions.item_disenchanting_lens@0
actuallyadditions:recipes17 - 1xitem.actuallyadditions.item_mining_lens@0
actuallyadditions:recipes14 - 1xitem.actuallyadditions.item_small_to_medium_crate_upgrade@0
tp:bone_hoe - 1xitem.bone_hoe@0
actuallyadditions:recipes15 - 1xitem.actuallyadditions.item_medium_to_large_crate_upgrade@0
enderio:dark_shield_recipes - 2xtile.air@15
nuclearcraft:item.thaumadditions:mithminite_hood_2 - 1xitem.thaumadditions:mithminite_hood@0
nuclearcraft:item.thaumadditions:mithminite_hood_1 - 1xitem.thaumadditions:mithminite_hood@0
minecraft:magenta_banner - 1xtile.banner@13
bibliocraft:black_dyed_lanterngold - 1xtile.BiblioCraft:LanternGold@3
thaumicaugmentation:arcanedoorsilverwood - 1xitem.thaumicaugmentation.arcane_door@2
forestry:fireproof_doors_mahogany - 3xtile.for.doors.mahogany@0
mysticalagriculture:silicon_seeds - 1xitem.ma.silicon_seeds@0
immersiveengineering:sheetmetal/aluminum_sheetmetal_slab_back - 1xtile.immersiveengineering.sheetmetal@1
darkutils:filter_convert_back_arthropod - 1xtile.darkutils.filter@2
jaopca:block_fenceinsanium_pho5nc - 3xtile.jaopca.fence@0
jaopca:block_slabconstantan_nfjyka - 6xtile.jaopca.slab@0
forestry:fireproof_stairs_lime - 4xtile.for.stairs.fireproof.lime@0
rftools:builder - 1xtile.rftools.builder@0
nuclearcraft:item.simplyjetpacks.jetpack_eio5_1 - 1xitem.simplyjetpacks.itemJetpack@9
extratrees:sweetgum_planks - 4xtile.planks.1@6
nuclearcraft:item.simplyjetpacks.jetpack_eio5_2 - 1xitem.simplyjetpacks.itemJetpack@9
nuclearcraft:item.manaweavechest - 1xitem.manaweaveChest@0
tcomplement:steelworks/high_oven/casting_basin - 1xtile.tcomplement.scorched_casting@1
extratrees:banana_stairs - 4xtile.stairs.banana@0
minecraft:tippedarrow - 2xtile.air@15
crafttweaker:conarm-armorforge_blockchocolate-rerererererererererererereremodified - 1xtile.conarm.armorforge@0
jaopca:block_wallhopgraphite_8540wq - 12xtile.jaopca.wall@0
industrialforegoing:laser_lens_inverted_8_recolor - 1xitem.industrialforegoing_laser_lens_inverted@8
computercraft:generated/turtle_advanced/computercraft_wireless_modem - 1xtile.computercraft:turtle@0
thermalfoundation:tool.hammer_copper - 1xitem.thermalfoundation.tool.copperHammer@0
engineersworkshop:upgrade_1 - 1xitem.null@2
openscreens:holo_t1 - 1xtile.openscreens.holoscreen1@0
techreborn:sapphireleggings - 1xitem.sapphireLeggings@0
appliedenergistics2:network/parts/cable_anchor - 3xitem.appliedenergistics2.part@120
openscreens:holo_t3 - 1xtile.openscreens.holoscreen3@0
openscreens:holo_t2 - 1xtile.openscreens.holoscreen2@0
cyclicmagic:tile.beacon_redstone_1 - 1xtile.beacon_redstone@0
engineersworkshop:upgrade_5 - 1xitem.null@6
computercraft:normal_computer - 1xtile.computercraft:computer@0
engineersworkshop:upgrade_4 - 1xitem.null@5
engineersworkshop:upgrade_3 - 1xitem.null@4
engineersworkshop:upgrade_2 - 1xitem.null@1
engineersworkshop:upgrade_9 - 1xitem.null@9
engineersworkshop:upgrade_8 - 1xitem.null@8
engineersworkshop:upgrade_7 - 1xitem.null@3
engineersworkshop:upgrade_6 - 1xitem.null@7
minecraft:flower_pot - 1xitem.flowerPot@0
environmentaltech:m_resources/lonsdaleite/tiles/stairs/tiles_stairs - 6xtile.environmentaltech.lonsdaleite_tile_stairs@0
thermalfoundation:tool.shovel_silver - 1xitem.thermalfoundation.tool.silverShovel@0
extratrees:sweetgum_fireproof_stairs - 4xtile.stairs.fireproof.sweetgum@0
thaumcraft:thaumiumlegs - 1xitem.thaumium_legs@0
mysticalagriculture:intermedium_pickaxe - 1xitem.ma.intermedium_pickaxe@0
crafttweaker:extrabotany-recipe_cmlegs-rerererererererererererereremodified - 1xitem.combatmaidlegs@0
mysticalagriculture:energetic_alloy_seeds - 1xitem.ma.energetic_alloy_seeds@0
woot:layout - 1xtile.woot.layout@0
actuallyadditions:recipes60 - 1xitem.actuallyadditions.item_potion_ring@0
mysticalagriculture:nether_wart - 12xitem.netherStalkSeeds@0
actuallyadditions:recipes63 - 1xitem.actuallyadditions.item_potion_ring_advanced@1
tp:soul_sandstone - 1xtile.soul_sandstone@0
actuallyadditions:recipes64 - 1xitem.actuallyadditions.item_potion_ring@2
actuallyadditions:recipes61 - 1xitem.actuallyadditions.item_potion_ring_advanced@0
actuallyadditions:recipes62 - 1xitem.actuallyadditions.item_potion_ring@1
actuallyadditions:recipes67 - 1xitem.actuallyadditions.item_potion_ring_advanced@3
actuallyadditions:recipes68 - 1xitem.actuallyadditions.item_potion_ring@4
actuallyadditions:recipes65 - 1xitem.actuallyadditions.item_potion_ring_advanced@2
nuclearcraft:item.actuallyadditions.item_boots_crystal_blue_1 - 1xitem.actuallyadditions.item_boots_crystal_blue@0
nuclearcraft:item.wooden_helmet - 1xitem.wooden_helmet@0
actuallyadditions:recipes66 - 1xitem.actuallyadditions.item_potion_ring@3
nuclearcraft:item.actuallyadditions.item_boots_crystal_blue_2 - 1xitem.actuallyadditions.item_boots_crystal_blue@0
tp:chainmail_boots - 1xitem.bootsChain@0
botany:clay_lightsteelblue - 1xitem.botany.clay@37
integrateddynamics:part_audio_reader_item - 1xparttype.parttypes.integrateddynamics.audio_reader.name@0
jaopca:salt_cri182 - 5xitem.bewitchment.salt@0
incorporeal:corporetics/red_string_liar - 1xtile.incorporeal.red_string_liar@0
actuallyadditions:recipes69 - 1xitem.actuallyadditions.item_potion_ring_advanced@4
randomthings:spectreaxe - 1xitem.spectreAxe@0
thaumcraft:nitordyemagenta - 1xtile.nitor_magenta@0
malisisdoors:curtain_lime - 3xitem.curtain_lime@0
plethora:redstone_integrator - 1xtile.plethora.redstone_integrator@0
mysticalagriculture:ingottin - 4xitem.thermalfoundation.material@129
jaopca:item_dustadaminite_gj6cua - 1xitem.jaopca.dust@0
stevescarts:block/detector_junction - 1xtile.SC2:BlockDetector@3
botany:clay_cyan - 1xitem.botany.clay@8
actuallyadditions:recipes52 - 1xitem.actuallyadditions.item_crafter_on_a_stick@0
actuallyadditions:recipes53 - 8xitem.actuallyadditions.item_misc@10
actuallyadditions:recipes50 - 1xitem.actuallyadditions.item_player_probe@0
tp:compressed_cane - 1xtile.compressed_sugar_cane@0
actuallyadditions:recipes51 - 1xitem.actuallyadditions.item_knife@0
embers:ingotelectrum_block - 1xtile.block_electrum@0
actuallyadditions:recipes56 - 1xitem.coal@1
actuallyadditions:recipes57 - 1xitem.actuallyadditions.item_rice_seed@0
minecraft:orange_stained_glass - 8xtile.stainedGlass@1
computercraft:generated/pocket_advanced/computercraft_wireless_modem - 1xitem.computercraft:pocket_computer@1
actuallyadditions:recipes54 - 8xitem.actuallyadditions.item_misc@11
actuallyadditions:recipes55 - 1xitem.coal@0
nuclearcraft:item.cloth_boots - 1xitem.cloth_boots@0
complex-logic:lamp/cage_lamp_green_inverted - 1xtile.cage_lamp_inverted@0
actuallyadditions:recipes58 - 1xitem.actuallyadditions.item_canola_seed@0
actuallyadditions:recipes59 - 1xitem.actuallyadditions.item_misc@6
soot:stamp_nugget_raw - 1xitem.stamp_nugget_raw@0
nuclearcraft:item.nuclearcraft.part.plate_advanced - 1xitem.nuclearcraft.part@1
tcomplement:melter/alloy_tank - 1xtile.tcomplement.alloy_tank@0
darkutils:sneaky_button - 1xtile.darkutils.sneaky.button@0
thaumicaugmentation:keybrass - 1xitem.thaumicaugmentation.key@1
thaumcraft:nuggetstoquicksilver - 1xitem.quicksilver@0
actuallyadditions:recipes41 - 1xitem.actuallyadditions.item_growth_ring@0
actuallyadditions:recipes42 - 1xitem.actuallyadditions.item_water_removal_ring@0
actuallyadditions:recipes40 - 1xitem.actuallyadditions.item_suction_ring@0
thaumcraft:tallowcandlelightblue - 1xtile.candle_lightblue@0
actuallyadditions:recipes45 - 1xitem.actuallyadditions.item_misc@14
actuallyadditions:recipes46 - 1xitem.actuallyadditions.item_resonant_rice@0
actuallyadditions:recipes43 - 1xitem.actuallyadditions.item_wings_of_the_bats@0
actuallyadditions:recipes44 - 1xitem.actuallyadditions.item_misc@7
actuallyadditions:recipes49 - 1xitem.actuallyadditions.item_phantom_connector@0
environmentaltech:m_resources/erodium/tiles/slabs/tiles_slabs_tb - 1xtile.environmentaltech.erodium_tiles@0
actuallyadditions:recipes47 - 1xitem.actuallyadditions.item_misc@8
actuallyadditions:recipes48 - 1xitem.actuallyadditions.item_leaf_blower_advanced@0
tp:compressed_7_cane2 - 9xtile.septuple_compressed_sugar_cane@0
enderio:simple_stirling_generator - 1xtile.block_simple_stirling_generator@0
appliedenergistics2:network/blocks/storage_chest - 1xtile.appliedenergistics2.chest@0
nuclearcraft:item.quartz_boots_1 - 1xitem.quartz_boots@0
nuclearcraft:item.quartz_boots_2 - 1xitem.quartz_boots@0
industrialforegoing:enchantment_refiner_thermal - 1xtile.industrialforegoing.enchantment_refiner@0
nuclearcraft:item.nuclearcraft.americium._243_tiny - 9xitem.nuclearcraft.americium@10
forestry:biogas_engine - 1xtile.for.engine_biogas@0
mekanism:energycube_0_alt - 1xtile.EnergyCube@0
jaopca:block_stairsconductiveiron_ahi2dp - 8xtile.jaopca.stairs@0
bibliocraft:yellow_swordpedestal - 1xtile.BiblioCraft:SwordPedestal@4
mekanismtools:bronzehoe - 1xitem.BronzeHoe@0
environmentaltech:m_multiblocks/m_components/m_structurepanel/structure_panel_clear - 1xtile.environmentaltech.structure_panel_clear@0
actuallyadditions:recipes30 - 1xitem.actuallyadditions.item_drill_upgrade_speed@0
actuallyadditions:recipes31 - 1xitem.actuallyadditions.item_drill_upgrade_speed_ii@0
cyclicmagic:tile.plate_push_slow_1 - 8xtile.plate_push_slow@0
bloodmagic:demon_decor/demon_brick_1_brick1_corrosive - 4xtile.bloodmagic.bricks1.@1
actuallyadditions:recipes34 - 1xitem.actuallyadditions.item_drill_upgrade_fortune_ii@0
actuallyadditions:recipes35 - 1xitem.actuallyadditions.item_drill_upgrade_three_by_three@0
actuallyadditions:recipes32 - 1xitem.actuallyadditions.item_drill_upgrade_speed_iii@0
actuallyadditions:recipes33 - 1xitem.actuallyadditions.item_drill_upgrade_fortune@0
minecraft:emerald - 9xitem.emerald@0
actuallyadditions:recipes38 - 1xitem.actuallyadditions.item_drill_upgrade_block_placing@0
actuallyadditions:recipes39 - 1xitem.actuallyadditions.item_battery@0
actuallyadditions:recipes36 - 1xitem.actuallyadditions.item_drill_upgrade_five_by_five@0
actuallyadditions:recipes37 - 1xitem.actuallyadditions.item_drill_upgrade_silk_touch@0
thermalfoundation:tool.hammer_electrum - 1xitem.thermalfoundation.tool.electrumHammer@0
woot:prism - 1xitem.woot.prism@0
botania:petalblock_3 - 1xtile.petalBlock@3
botania:petalblock_2 - 1xtile.petalBlock@2
thaumcraft:label_desiderium - 1xitem.label@1
botania:petalblock_1 - 1xtile.petalBlock@1
cookingforblockheads:kitchen_floor - 12xtile.cookingforblockheads:kitchen_floor@0
jaopca:block_fencecyanite_ck06im - 3xtile.jaopca.fence@0
botania:petalblock_0 - 1xtile.petalBlock@0
botania:petalblock_7 - 1xtile.petalBlock@7
jaopca:item_dustmanasteel_1fvwue - 1xitem.jaopca.dust@0
botania:petalblock_6 - 1xtile.petalBlock@6
botania:petalblock_5 - 1xtile.petalBlock@5
botania:petalblock_4 - 1xtile.petalBlock@4
minecraft:oak_stairs - 4xtile.stairsWood@0
botania:petalblock_9 - 1xtile.petalBlock@9
botania:petalblock_8 - 1xtile.petalBlock@8
mekanism:slickplasticblock_13_alt - 4xtile.SlickPlasticBlock@13
xreliquary:items/rending_gale - 1xitem.rending_gale@0
thermalfoundation:tool.shears_copper - 1xitem.thermalfoundation.tool.copperShears@0
storagedrawersextra:extra_drawers_fulldrawers1_forestry_sequoia - 1xtile.extraDrawers@0
botania:biomestonea6slab_0 - 6xtile.biomeStoneA6Slab@0
nuclearcraft:item.helmetdiamond_2 - 1xitem.helmetDiamond@0
nuclearcraft:item.helmetdiamond_1 - 1xitem.helmetDiamond@0
immersiveengineering:sheetmetal/copper_sheetmetal_slab - 6xtile.immersiveengineering.sheetmetal_slab@0
compactdrawers:compact_drawer_half - 1xtile.compactdrawers.compactdrawerhalf@0
naturalpledge:flarebringer - 1xitem.flarebringer@0
rpsideas:overclocked_cad_assembly - 1xitem.overclocked_cad_assembly@0
nuclearcraft:item.lapislazulichestplate - 1xitem.LapisLazuliChestplate@0
thaumcraft:nitordyepurple - 1xtile.nitor_purple@0
jaopca:item_mysticalseedscrystallinepinkslime_194kbo - 1xitem.jaopca.mysticalSeeds@0
botany:mortar_peru - 4xtile.null@55
cyclicmagic:item.tool_elevate_1 - 1xitem.tool_elevate@0
nuclearcraft:item.actuallyadditions.item_chest_crystal_green_2 - 1xitem.actuallyadditions.item_chest_crystal_green@0
nuclearcraft:item.actuallyadditions.item_chest_crystal_green_1 - 1xitem.actuallyadditions.item_chest_crystal_green@0
incorporeal:decorative/unstable_cube/unstable_cube_orange - 2xtile.incorporeal.unstable_cube@1
forestry:fireproof_stairs_dark_oak - 4xtile.for.stairs.vanilla.fireproof.dark_oak@0
environmentaltech:m_resources/lonsdaleite/normal/slabs/slabs - 6xtile.environmentaltech.lonsdaleite_slab@0
magneticraft:ingots_steel - 1xitem.magneticraft.ingots@6
environmentaltech:m_resources/ionite/pavers/paver - 8xtile.environmentaltech.ionite_paver@0
forestry:planks_palm - 4xtile.for.planks.1@2
environmentaltech:m_resources/aethium/normal/c_block - 1xtile.environmentaltech.aethium@0
stevescarts:component/solar_panel - 1xitem.SC2:unknowncomponent@44
tconstruct:gadgets/frames/golden_fancy_item_frame - 1xitem.tconstruct.fancy_frame@5
botania:dye_2_double - 2xitem.dye@2
xnet:netcable_3 - 1xtile.xnet.netcable@3
xnet:netcable_2 - 1xtile.xnet.netcable@2
nuclearcraft:item.redstone_helmet - 1xitem.redstone_helmet@0
xnet:netcable_1 - 1xtile.xnet.netcable@1
modularmachinery:fluid_input_tiny - 1xtile.modularmachinery.blockfluidinputhatch@0
xnet:netcable_0 - 16xtile.xnet.netcable@0
jaopca:block_slabamethyst_rkv472 - 6xtile.jaopca.slab@0
thermalexpansion:machine_10 - 1xtile.thermalexpansion.machine@10
nuclearcraft:item.nuclearcraft.curium._246_tiny - 9xitem.nuclearcraft.curium@10
tg:focus_plains - 1xtile.terra_focus@5
randomthings:runedust_black - 8xitem.runeDust@15
appliedenergistics2:network/blocks/quantum_link - 1xtile.appliedenergistics2.quantum_link@0
betterbuilderswands:wandunbreakable14 - 1xitem.betterbuilderswands.wandunbreakable@14
thermalexpansion:machine_15 - 1xtile.thermalexpansion.machine@15
thermalexpansion:machine_13 - 1xtile.thermalexpansion.machine@13
thermalexpansion:machine_14 - 1xtile.thermalexpansion.machine@14
thermalexpansion:machine_11 - 1xtile.thermalexpansion.machine@11
rftools:infused_diamond - 1xitem.infused_diamond@0
randomthings:stainedbrick_red - 8xtile.stainedBrick@14
thermalexpansion:machine_12 - 1xtile.thermalexpansion.machine@12
appliedenergistics2:network/cables/dense_covered_pink - 8xitem.appliedenergistics2.part@506
conarm:armorforge_blockmagnesium - 1xtile.conarm.armorforge@0
environmentaltech:m_multiblocks/m_nanobot/modifier_resistance - 1xtile.environmentaltech.modifier_resistance@0
malisisdoors:medieval_door - 1xtile.medieval_door@0
xnet:netcable_4 - 1xtile.xnet.netcable@0
extratrees:cedar_fence_gates - 1xtile.fence.gates.cedar@0
bewitchment:lantern/light_blue_lantern - 1xtile.bewitchment.light_blue_lantern@0
betterbuilderswands:wandunbreakable13 - 1xitem.betterbuilderswands.wandunbreakable@13
mekanism:rail - 24xtile.rail@0
industrialforegoing:laser_drill_enderio - 1xtile.industrialforegoing.laser_drill@0
nuclearcraft:item.nuclearcraft.thorium._230_oxide - 1xitem.nuclearcraft.thorium@1
nuclearcraft:item.nuclearcraft.axe_hard_carbon - 1xitem.nuclearcraft.axe_hard_carbon@0
immersiveengineering:metal_storage/lead_ingot_uncraft - 9xitem.immersiveengineering.metal@22
embers:ember_receiver - 4xtile.ember_receiver@0
nuclearcraft:tile.nuclearcraft.cooler.lapis_1 - 1xtile.nuclearcraft.cooler@6
forestry:bee_chest - 1xtile.for.bee_chest@0
rftools:matter_booster - 1xtile.rftools.matter_booster@0
storagedrawersextra:extra_drawers_fulldrawers4_forestry_larch - 4xtile.extraDrawers@2
bibliocraft:brown_dyed_lampgold - 1xtile.BiblioCraft:LampGold@15
forestry:clockwork_engine - 1xtile.for.engine_clockwork@0
enderio:lumium_ball_crafting - 24xitem.item_material@59
thaumicbases:thauminitehelmet - 1xitem.thauminitehelmet@0
botany:clay_darkorange - 1xitem.botany.clay@14
minecraft:prismarine_bricks - 1xtile.prismarine@1
