+-----+--------------------------------------------+------------------------------------------------------------+------------+-------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|  ID | Registry name                              | Biome name                                                 | BiomeType  | BiomeDictionary.Type                            | Spawns                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|  39 | minecraft:mesa_clear_rock                  | Mesa Plateau                                               |            | DRY, MESA, SANDY                                | { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { thermalfoundation:blitz [weight: 10, min: 1, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|  40 | jeid:error_biome                           | A mod doesn't support extended biome IDs -- report to JEID |            | PLAINS                                          | { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { enderzoo:fallenknight [weight: 30, min: 1, max: 4] }; { enderzoo:witherwitch [weight: 5, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|  41 | randomthings:spectral                      | Spectral                                                   |            | MAGICAL                                         | { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|  42 | appliedenergistics2:storage_biome          | Storage Cell                                               |            | COLD, PLAINS                                    | { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { enderzoo:fallenknight [weight: 30, min: 1, max: 4] }; { enderzoo:witherwitch [weight: 5, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|  43 | thaumcraft:magical_forest                  | Magical Forest                                             | COOL, WARM | FOREST, MAGICAL                                 | { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { enderzoo:enderminy [weight: 30, min: 1, max: 3] }; { enderzoo:witherwitch [weight: 5, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:enderman [weight: 3, min: 1, max: 1] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:vex [weight: 1, min: 1, max: 1] }; { minecraft:witch [weight: 3, min: 1, max: 1] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { thaumcraft:brainyzombie [weight: 10, min: 1, max: 1] }; { thaumcraft:pech [weight: 10, min: 1, max: 1] }; { thaumcraft:wisp [weight: 20, min: 1, max: 2] }; { enderzoo:owl [weight: 5, min: 1, max: 1] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:horse [weight: 2, min: 1, max: 3] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 2, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                |
|  44 | thaumcraft:eerie                           | Eerie                                                      |            | MAGICAL, SPOOKY                                 | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:enderman [weight: 4, min: 1, max: 1] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:witch [weight: 8, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { thaumcraft:brainyzombie [weight: 32, min: 1, max: 1] }; { thaumcraft:eldritchguardian [weight: 1, min: 1, max: 1] }; { thaumcraft:giantbrainyzombie [weight: 8, min: 1, max: 1] }; { thaumcraft:pech [weight: 10, min: 1, max: 1] }; { thaumcraft:wisp [weight: 3, min: 1, max: 1] }; { minecraft:bat [weight: 3, min: 1, max: 1] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
|  45 | thaumcraft:eldritch                        | Outer Lands                                                |            | END, MAGICAL, SPOOKY                            | { thaumcraft:eldritchguardian [weight: 1, min: 1, max: 1] }; { thaumcraft:inhabitedzombie [weight: 1, min: 1, max: 1] }; { thaumcraft:pech [weight: 10, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|  46 | nuclearcraft:nuclear_wasteland             | Nuclear Wasteland                                          | DESERT     | DEAD, DRY, HOT, SAVANNA, SPARSE, WASTELAND      | { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { mekanism:babyskeleton [weight: 40, min: 1, max: 3] }; { nuclearcraft:feral_ghoul [weight: 32767, min: 1, max: 1] }; { thaumcraft:brainyzombie [weight: 10, min: 1, max: 1] }; { nuclearcraft:feral_ghoul [weight: 32767, min: 1, max: 2] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|  47 | integrateddynamics:biome_meneglin          | Meneglin                                                   | COOL       | COLD, MAGICAL                                   | { mekanism:babyskeleton [weight: 40, min: 1, max: 3] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { thaumcraft:brainyzombie [weight: 10, min: 1, max: 1] }; { thaumcraft:pech [weight: 10, min: 1, max: 1] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  48 | thaumicaugmentation:emptiness              | Emptiness                                                  |            | COLD, SPARSE, SPOOKY, VOID                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  49 | thaumicaugmentation:tainted_lands          | Tainted Lands                                              |            | COLD, SPOOKY, VOID                              | { thaumcraft:taintacle [weight: 50, min: 1, max: 1] }; { thaumcraft:taintacletiny [weight: 75, min: 1, max: 2] }; { thaumcraft:taintcrawler [weight: 100, min: 3, max: 5] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|  50 | thaumicaugmentation:emptiness_highlands    | Emptiness Highlands                                        |            | COLD, HILLS, MOUNTAIN, SPARSE, SPOOKY, VOID     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 127 | minecraft:void                             | The Void                                                   |            | VOID                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 129 | minecraft:mutated_plains                   | Sunflower Plains                                           |            | PLAINS, RARE                                    | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { enderzoo:fallenknight [weight: 30, min: 1, max: 4] }; { enderzoo:witherwitch [weight: 5, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { bewitchment:raven [weight: 20, min: 1, max: 4] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:donkey [weight: 1, min: 1, max: 3] }; { minecraft:horse [weight: 5, min: 2, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                    |
| 130 | minecraft:mutated_desert                   | Desert M                                                   |            | DRY, HOT, RARE, SANDY                           | { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:husk [weight: 80, min: 4, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 19, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 1, min: 1, max: 1] }; { thermalfoundation:blitz [weight: 10, min: 1, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| 131 | minecraft:mutated_extreme_hills            | Extreme Hills M                                            |            | MOUNTAIN, RARE, SPARSE                          | { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { enderzoo:witherwitch [weight: 5, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { thermalfoundation:basalz [weight: 10, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:llama [weight: 5, min: 4, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 132 | minecraft:mutated_forest                   | Flower Forest                                              |            | FOREST, HILLS, RARE                             | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { enderzoo:enderminy [weight: 30, min: 1, max: 3] }; { enderzoo:witherwitch [weight: 5, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { enderzoo:owl [weight: 5, min: 1, max: 1] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                |
| 133 | minecraft:mutated_taiga                    | Taiga M                                                    |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE        | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { enderzoo:enderminy [weight: 30, min: 1, max: 3] }; { enderzoo:witherwitch [weight: 5, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { thermalfoundation:basalz [weight: 10, min: 1, max: 4] }; { thermalfoundation:blizz [weight: 10, min: 1, max: 4] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { enderzoo:owl [weight: 5, min: 1, max: 1] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                               |
| 134 | minecraft:mutated_swampland                | Swampland M                                                |            | HILLS, RARE, SWAMP, WET                         | { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { enderzoo:enderminy [weight: 30, min: 1, max: 3] }; { enderzoo:witherwitch [weight: 5, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 1, min: 1, max: 1] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { bewitchment:newt [weight: 20, min: 1, max: 4] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { bewitchment:toad [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_frog [weight: 6, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| 140 | minecraft:mutated_ice_flats                | Ice Plains Spikes                                          |            | COLD, HILLS, RARE, SNOWY                        | { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { enderzoo:witherwitch [weight: 5, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 20, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:stray [weight: 80, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { thermalfoundation:blizz [weight: 10, min: 1, max: 4] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { minecraft:polar_bear [weight: 1, min: 1, max: 2] }; { minecraft:rabbit [weight: 10, min: 2, max: 3] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| 149 | minecraft:mutated_jungle                   | Jungle M                                                   |            | DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET         | { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { enderzoo:enderminy [weight: 30, min: 1, max: 3] }; { enderzoo:witherwitch [weight: 5, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:ocelot [weight: 2, min: 1, max: 1] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { thermalfoundation:basalz [weight: 10, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:parrot [weight: 40, min: 1, max: 2] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_frog [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                      |
| 151 | minecraft:mutated_jungle_edge              | JungleEdge M                                               |            | HILLS, HOT, JUNGLE, RARE, SPARSE                | { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { enderzoo:enderminy [weight: 30, min: 1, max: 3] }; { enderzoo:witherwitch [weight: 5, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:parrot [weight: 40, min: 1, max: 2] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_frog [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 155 | minecraft:mutated_birch_forest             | Birch Forest M                                             |            | DENSE, FOREST, HILLS, RARE                      | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { enderzoo:enderminy [weight: 30, min: 1, max: 3] }; { enderzoo:witherwitch [weight: 5, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { enderzoo:owl [weight: 5, min: 1, max: 1] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                  |
| 156 | minecraft:mutated_birch_forest_hills       | Birch Forest Hills M                                       |            | DENSE, FOREST, MOUNTAIN, RARE                   | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { enderzoo:concussioncreeper [weight: 40, min: 1, max: 3] }; { enderzoo:enderminy [weight: 30, min: 1, max: 3] }; { enderzoo:witherwitch [weight: 5, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { thermalfoundation:basalz [weight: 10, min: 1, max: 4] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { enderzoo:owl [weight: 5, min: 1, max: 1] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                           |
